train_number,route_length_km,season,day_of_week,scheduled_time_mins,delay_minutes
TR103,1059,3,6,1346,69.34
TR101,1187,2,3,725,49.59
TR103,851,4,0,1426,18.17
TR101,845,2,2,249,41.34
TR104,488,4,6,1249,31.33
TR104,759,1,0,1191,68.03
TR101,189,2,1,184,14.58
TR101,165,4,5,1123,24.76
TR103,200,3,1,1360,9.51
TR102,1106,1,3,1428,72.91
TR101,839,4,6,875,43.38
TR103,1183,1,5,264,74.15
TR103,259,2,4,318,21.7
TR104,488,2,4,629,30.86
TR102,950,1,6,1427,47.58
TR104,313,2,6,489,5.25
TR104,1133,3,5,443,36.81
TR103,745,3,6,881,32.96
TR104,981,3,4,612,39.45
TR103,837,4,3,933,37.83
TR101,170,3,4,153,0
TR103,113,3,1,559,0.4
TR103,144,3,4,1167,0
TR102,293,1,3,848,22.79
TR102,383,3,2,1312,19.16
TR103,288,4,4,565,25.94
TR101,764,4,1,1119,48.71
TR101,715,1,5,1300,35.35
TR104,260,1,6,804,17.04
TR104,346,2,5,1353,39.88
TR101,883,1,2,1193,82.22
TR102,769,2,1,223,43.23
TR104,1012,1,1,1004,66.88
TR102,788,1,3,1290,73.95
TR101,917,3,0,936,19.99
TR102,376,4,4,525,18.5
TR104,909,2,4,1381,63.73
TR102,246,3,6,1000,11.96
TR103,283,1,5,967,21.84
TR103,805,1,6,744,66.66
TR102,816,4,4,418,9.08
TR102,508,3,1,295,37.85
TR101,211,2,4,422,29.41
TR101,803,1,2,1041,39.75
TR104,146,3,1,1221,11.78
TR103,1089,2,5,157,72.77
TR104,1178,1,2,468,88.23
TR103,208,4,5,137,14.1
TR101,895,3,5,857,46.69
TR104,573,4,4,323,26.43
TR103,1092,1,1,527,58.0
TR101,181,2,4,744,8.98
TR103,1103,4,5,441,77.78
TR103,719,2,4,684,38.57
TR101,627,4,6,180,65.73
TR102,410,3,3,401,7.91
TR101,882,2,3,612,29.91
TR103,774,4,4,389,31.71
TR102,383,2,6,402,10.66
TR102,980,2,5,1276,70.85
TR102,750,1,4,1211,64.64
TR103,398,1,6,772,37.51
TR104,942,3,3,1424,58.06
TR102,318,2,1,173,11.01
TR103,572,2,1,173,14.09
TR104,374,4,5,885,36.41
TR102,893,4,3,401,50.19
TR104,130,3,3,575,15.71
TR102,518,1,1,1019,57.58
TR103,1037,2,3,949,38.95
TR101,879,3,3,1372,62.08
TR101,1166,1,3,1055,71.01
TR101,603,4,5,200,13.25
TR101,488,3,3,935,17.99
TR103,685,4,1,985,24.98
TR102,1049,4,0,1145,84.78
TR101,468,2,3,966,21.9
TR104,513,4,0,632,28.67
TR103,435,1,0,353,35.97
TR101,1172,4,5,1167,38.13
TR102,875,4,0,469,60.25
TR102,432,2,1,225,11.45
TR104,730,3,5,1033,34.22
TR102,515,1,4,638,54.94
TR101,1039,4,6,1141,50.4
TR104,587,2,4,1094,28.92
TR104,939,4,0,1351,37.86
TR103,525,1,1,423,39.64
TR101,814,1,1,186,46.44
TR103,778,1,0,343,34.08
TR104,465,2,5,702,5.63
TR102,1032,3,0,310,36.81
TR103,761,3,3,258,39.58
TR101,699,4,1,369,6.11
TR103,774,4,4,549,31.81
TR101,1183,1,3,1358,59.69
TR103,974,3,2,1196,30.03
TR102,1116,4,3,488,46.27
TR102,694,2,0,362,55.48
TR101,524,4,3,213,29.36
TR103,816,2,0,1431,44.48
TR101,730,3,4,1246,48.13
TR103,112,1,5,802,12.52
TR101,459,2,2,812,43.17
TR104,1071,1,5,398,52.62
TR103,1047,4,5,234,54.79
TR103,746,1,1,1302,46.7
TR103,235,2,2,183,0
TR103,868,2,4,1360,27.89
TR103,744,1,2,967,70.1
TR101,1117,2,2,1045,61.95
TR103,458,1,2,196,31.72
TR102,289,4,4,171,24.32
TR102,489,3,3,1192,0
TR103,770,2,6,321,53.99
TR102,520,1,3,913,14.2
TR101,108,3,0,1337,14.76
TR101,311,3,0,1302,5.81
TR103,529,3,1,514,22.24
TR104,340,3,1,442,35.01
TR103,334,1,4,1266,26.54
TR103,752,3,1,700,36.7
TR102,450,1,2,1375,57.08
TR101,366,1,3,223,26.58
TR101,885,1,0,993,46.02
TR104,828,3,2,525,56.11
TR101,1053,2,0,1079,63.24
TR104,1063,2,1,414,60.57
TR103,844,4,1,796,49.69
TR104,1098,1,0,1093,44.78
TR101,819,4,3,469,38.15
TR102,1140,1,3,339,90.6
TR103,245,3,4,1064,0
TR102,425,4,3,255,30.29
TR103,526,4,6,1011,13.78
TR102,454,1,5,1295,37.07
TR104,334,4,2,1256,30.01
TR103,931,1,4,342,75.93
TR104,770,4,5,245,61.79
TR101,400,2,3,1208,34.89
TR103,898,4,1,541,39.44
TR103,990,3,0,1313,37.6
TR101,1145,4,6,381,60.48
TR101,101,3,0,697,0.74
TR101,581,4,5,1328,18.71
TR104,931,4,3,1236,54.64
TR102,455,4,1,505,0
TR103,954,2,2,377,37.84
TR102,123,1,5,152,45.42
TR104,378,1,1,1435,63.42
TR104,1033,4,4,488,36.53
TR104,887,3,1,500,48.8
